paper_expt_info,yi,vi,se_voe,n_1
biro_2007.1.1,0.424292409853152,0.0486906193396369,0.220659509968723,42
biro_2007.2.2_directlaunching,0.00638934697306205,0.0476192906175877,0.218218447014884,42
biro_2007.2.2_delayedlaunching,-0.342335558634403,0.0483166287780091,0.219810438282646,42
brandone_2009.1.1_successfulreaching8,0.250115812251812,0.0876364991254172,0.296034624875904,23
brandone_2009.1.1_successfulreaching10,0.683424580985708,0.0881986370614114,0.296982553463013,24
brandone_2009.1.1_successfulreaching12,0.28542752359443,0.0841819674085963,0.290141288700172,24
brandone_2009.1.1_failedreaching8,-0.0218132446827795,0.086961693670039,0.294892681614921,23
brandone_2009.1.1_failedreaching10,0.129934698909369,0.100211037824758,0.316561270253893,20
brandone_2009.1.1_failedreaching12,0.573421670683843,0.104110155155123,0.322661053049672,20
choi_2018.1.1_twoobject,0.303206529654685,0.126436471869144,0.355579065566499,16
chuey_2021.4.4_online,0.352972682385651,0.0677049142875877,0.26020168002453,30
gerson_2014a.1.1_active,-0.145727581190781,0.0835545471658304,0.289058034252346,24
gerson_2014b.1.1_active,0.444639142964472,0.0683141997288015,0.261369852371695,30
gerson_2014b.2.2,0.156155442743641,0.0668698710191539,0.258592093883695,30
hernik_2012.1.1_experimental,0.566415202758574,0.130012909092438,0.36057302879228,16
hernik_2012.2.2,-0.339541528002725,0.12680138201935,0.356091816838509,16
hespos_2009.1.1_habtosolid,1.35828995328013,0.153827368705965,0.39220832309624,16
hespos_2009.2.2_habtosolid,-0.0479285902426571,0.133371619162711,0.365200792938228,15
jackson_2022.1.1,0.158106862941226,0.0835937268761366,0.289125797666235,24
lakusta_2015.3.3_agentive,0.3770703909131,0.101777275996292,0.319025509945979,20
liu_2017a.1.1,0.425391432679368,0.102261973387463,0.319784260693772,20
liu_2017b.1.1,0.186206461324717,0.0836945088149903,0.289300032518129,24
liu_2017b.2.2,0.388187605216827,0.0849030168421247,0.291381222528365,24
liu_2017b.3.3,0.301125048056178,0.0632084085513034,0.251412824953906,32
liu_2019.1.1,-0.0164327792963577,0.100003375452943,0.316233103031518,20
liu_2019.2.2,0.382419496583737,0.101828058392092,0.319105089887473,20
liu_2019.3.3_experimental,0.494774469547359,0.103060022196448,0.321029628222145,20
liu_2019.5.5_causal,0.579749041557756,0.0801548937614148,0.283116396136668,26
liu_2022.4.4_study1,0.210514178113159,0.0628462204623958,0.250691484622824,32
liu_2022.4.4_study2,0.126111694256314,0.0667992013285683,0.258455414585511,30
liu_2022.4.4_study3,-0.249239066793018,0.0503882507025991,0.22447327391607,40
liu_unpublisheda.1.1_solidity,-0.239375999613177,0.0629476630405532,0.250893728579559,32
liu_unpublisheda.1.1_support,0.31136841097804,0.0421716160799739,0.20535728884063,48
liu_unpublishedb.1.1,0.256870306469785,0.0775575226379412,0.278491512685649,26
liu_unpublishedc.1.1,0.0582768884823658,0.054077001322508,0.232544622217991,37
liu_unpublishedd.1.1,-0.257870969977912,0.0650523986867528,0.255053717257273,31
luo_2005a.1.1_experimental,1.1611040008052,0.194753385430955,0.441308718960951,12
luo_2005a.2.2_shorthandle,1.6260215088945,0.221748873903907,0.470902191440969,12
luo_2005b.1.1_cdna,1.42739748689018,0.313670737049388,0.560063154518656,8
luo_2005b.1.1_ca,1.43622513860434,0.314460707773721,0.560767962506526,8
luo_2009a.1.1_visibleshortbox,1.00466192032538,0.187694699461497,0.433237463132515,12
luo_2009a.1.1_visibletallbox,0.462021051105894,0.171113821909687,0.413659064822333,12
luo_2009a.2.2_visibleinfront,0.648560815424615,0.175429815235505,0.418843425680176,12
luo_2009b.1.1_inert,0.325410732398039,0.126654564761872,0.355885606286447,16
luo_2009b.2.2_selfpropelled,0.360387342955862,0.127029359952544,0.356411784250386,16
luo_2010.1.1_smallwindow,0.949757339189946,0.222550975083629,0.471753086988977,10
luo_2010.2.2_handsoccupied,0.611778610296844,0.209356826700418,0.457555271743664,10
luo_2011.1.1_twoobject,0.868337759276636,0.182375218003866,0.427054116013259,12
luo_2011.2.2,0.830746369860566,0.181044573563261,0.425493329634274,12
martin_2017.1.1_choice,-0.146671544722825,0.0626680667346202,0.250335907801139,32
martin_2017.1.1_preference,0.53043706536889,0.0646981521899778,0.254358314568205,32
martin_2017.2.2,0.497722360526414,0.128870742940125,0.358985714117045,16
martin_2017.4.4,-0.209472247924593,0.125685603478915,0.354521654456981,16
martin_2017.5.5,0.551010114125245,0.129743939779192,0.360199860881695,16
olofson_2011.1.1,0.84103862352762,0.136052280722894,0.368852654488068,16
olofson_2011.2.2,0.82255290117104,0.135571769925389,0.368200719615523,16
powell_unpublished.1.1,0.0840509365897738,0.0333627689997567,0.182654780938679,60
schlottmann_2012.1.1_goalperception,0.827546186159613,0.0387715745099434,0.196904988534936,56
skerry_2013.1.1,0.0740907279246616,0.100068617949555,0.316336241916027,20
skerry_2013.4.4,0.172097638486387,0.0772078615112749,0.277863026527955,26
spaepen_2007.1.1,0.583762583974426,0.130324668038258,0.361005080349651,16
spaepen_2007.2.2,0.306654425226517,0.126469327132984,0.355625262225541,16
spaepen_2007.4.4,0.44913252077061,0.102521500265172,0.320189787883955,20
spaepen_2007.5.5,-0.270253182641604,0.126141199730124,0.355163623883589,16
spaepen_2007.6.6,0,0.125,0.353553390593274,16
stojnic_2023.1.1_goaldirected,0.591332669027024,0.0869757742235273,0.294916554678654,24
stojnic_2023.1.1_efficientagent,0.632337052258785,0.087498439038118,0.295801350636061,24
stojnic_2023.2.2_goaldirected,0.397911651683938,0.0424913212632596,0.206134231177792,48
stojnic_2023.2.2_multiagent,-0.338749819993793,0.0414017930640093,0.203474305660467,49
stojnic_2023.2.2_inaccessiblegoal,0.0233036102786181,0.0425560800970852,0.206291250655681,47
stojnic_2023.2.2_efficientagent,0.408689486748161,0.0434416334924387,0.208426566186844,47
stojnic_2023.2.2_instrumentalaction,0.0295745303796794,0.0416712221502457,0.204135303537251,48
thoermer_2013.1.1_goalencoding,0.33543468218072,0.0471657931744749,0.217176870717107,43
woo_2021.1.1,0.0671422021071709,0.100056350941298,0.316316852129787,20
woo_2021.2.2,0.00549787379682138,0.0833336481939196,0.288675679948831,24
woo_2021.3.3,0.587297361491083,0.0869262311543165,0.294832547650894,24
Summary,0.289860848256681,0.00175240075555139,0.0418616860094214,1
