subject,block_number,block_type,task_type,deviant_position,trial_number,trial_type,trial_looking_time,stimulus_displayed,task_question_type,task_question_response
SS1630946047579,1,simple_dissimilar,curiosity,6,1,background,5662,images/stimuli/simple_09_A_a.gif,curiosity_novel,1
SS1630946047579,1,simple_dissimilar,curiosity,6,2,background,2829,images/stimuli/simple_09_A_a.gif,curiosity_novel,1
SS1630946047579,1,simple_dissimilar,curiosity,6,3,background,1249,images/stimuli/simple_09_A_a.gif,curiosity_novel,1
SS1630946047579,1,simple_dissimilar,curiosity,6,4,background,589,images/stimuli/simple_09_A_a.gif,curiosity_novel,1
SS1630948755198,1,complex_dissimilar,curiosity,6,1,background,5095.800000011921,images/stimuli/complex_08_A_a.gif,curiosity_novel,2
SS1630948755198,1,complex_dissimilar,curiosity,6,2,background,5436.5,images/stimuli/complex_08_A_a.gif,curiosity_novel,2
SS1630948755198,1,complex_dissimilar,curiosity,6,3,background,4220.200000017881,images/stimuli/complex_08_A_a.gif,curiosity_novel,2
SS1630948755198,1,complex_dissimilar,curiosity,6,4,background,7382.200000017881,images/stimuli/complex_08_A_a.gif,curiosity_novel,2
SS1630948818400,1,simple_dissimilar,curiosity,4,1,background,1621,images/stimuli/simple_15_A_a.gif,curiosity_novel,3
SS1630948818400,1,simple_dissimilar,curiosity,4,2,background,528,images/stimuli/simple_15_A_a.gif,curiosity_novel,3
SS1630949011055,1,simple_dissimilar,curiosity,4,1,background,10979.100000023842,images/stimuli/simple_04_A_a.gif,curiosity_background,1
SS1630949011055,1,simple_dissimilar,curiosity,4,2,background,13424,images/stimuli/simple_04_A_a.gif,curiosity_background,1
SS1630950295124,1,complex_dissimilar,curiosity,4,1,background,9376.5,images/stimuli/complex_10_A_a.gif,curiosity_background,0
SS1630950295124,1,complex_dissimilar,curiosity,4,2,background,9713.80000001192,images/stimuli/complex_10_A_a.gif,curiosity_background,0
SS1630950434896,1,simple_dissimilar,curiosity,6,1,background,6418,images/stimuli/simple_18_A_a.gif,curiosity_novel,2
SS1630950434896,1,simple_dissimilar,curiosity,6,2,background,4943,images/stimuli/simple_18_A_a.gif,curiosity_novel,2
SS1630950434896,1,simple_dissimilar,curiosity,6,3,background,4910,images/stimuli/simple_18_A_a.gif,curiosity_novel,2
SS1630950434896,1,simple_dissimilar,curiosity,6,4,background,3861,images/stimuli/simple_18_A_a.gif,curiosity_novel,2
SS1630950810787,1,simple_dissimilar,curiosity,4,1,background,8118.5,images/stimuli/simple_03_A_a.gif,curiosity_background,2
SS1630950810787,1,simple_dissimilar,curiosity,4,2,background,9134.90000000596,images/stimuli/simple_03_A_a.gif,curiosity_background,2
SS1630951133808,1,simple_dissimilar,curiosity,6,1,background,9211.5,images/stimuli/simple_12_A_a.gif,curiosity_background,2
SS1630951133808,1,simple_dissimilar,curiosity,6,2,background,6197.5999999940395,images/stimuli/simple_12_A_a.gif,curiosity_background,2
SS1630951133808,1,simple_dissimilar,curiosity,6,3,background,5825.300000011921,images/stimuli/simple_12_A_a.gif,curiosity_background,2
SS1630951133808,1,simple_dissimilar,curiosity,6,4,background,3139.300000011921,images/stimuli/simple_12_A_a.gif,curiosity_background,2
SS1630951290582,1,simple_dissimilar,curiosity,6,1,background,4523.299999952316,images/stimuli/simple_12_A_a.gif,curiosity_novel,2
SS1630951290582,1,simple_dissimilar,curiosity,6,2,background,4046.800000190735,images/stimuli/simple_12_A_a.gif,curiosity_novel,2
SS1630951290582,1,simple_dissimilar,curiosity,6,3,background,5205.600000143051,images/stimuli/simple_12_A_a.gif,curiosity_novel,2
SS1630951290582,1,simple_dissimilar,curiosity,6,4,background,3744.900000095367,images/stimuli/simple_12_A_a.gif,curiosity_novel,2
SS1630951297610,1,simple_dissimilar,curiosity,6,1,background,9579.39999999106,images/stimuli/simple_14_A_a.gif,curiosity_background,1
SS1630951297610,1,simple_dissimilar,curiosity,6,2,background,7655.199999988079,images/stimuli/simple_14_A_a.gif,curiosity_background,1
SS1630951297610,1,simple_dissimilar,curiosity,6,3,background,6119,images/stimuli/simple_14_A_a.gif,curiosity_background,1
SS1630951297610,1,simple_dissimilar,curiosity,6,4,background,6378.70000000298,images/stimuli/simple_14_A_a.gif,curiosity_background,1
SS1630951339331,1,complex_dissimilar,curiosity,6,1,background,6797.099999964237,images/stimuli/complex_20_A_a.gif,curiosity_novel,3
SS1630951339331,1,complex_dissimilar,curiosity,6,2,background,3448.100000023842,images/stimuli/complex_20_A_a.gif,curiosity_novel,3
SS1630951339331,1,complex_dissimilar,curiosity,6,3,background,5739.399999976158,images/stimuli/complex_20_A_a.gif,curiosity_novel,3
SS1630951339331,1,complex_dissimilar,curiosity,6,4,background,4267.199999988079,images/stimuli/complex_20_A_a.gif,curiosity_novel,3
SS1630951466070,1,complex_dissimilar,curiosity,6,1,background,1845.5,images/stimuli/complex_19_A_a.gif,curiosity_novel,2
SS1630951466070,1,complex_dissimilar,curiosity,6,2,background,928.1999999880792,images/stimuli/complex_19_A_a.gif,curiosity_novel,2
SS1630951466070,1,complex_dissimilar,curiosity,6,3,background,1385.300000011921,images/stimuli/complex_19_A_a.gif,curiosity_novel,2
SS1630951466070,1,complex_dissimilar,curiosity,6,4,background,1007,images/stimuli/complex_19_A_a.gif,curiosity_novel,2
SS1630951471938,1,complex_dissimilar,curiosity,6,1,background,6280,images/stimuli/complex_15_A_a.gif,curiosity_background,3
SS1630951471938,1,complex_dissimilar,curiosity,6,2,background,4681.000000000029,images/stimuli/complex_15_A_a.gif,curiosity_background,3
SS1630951471938,1,complex_dissimilar,curiosity,6,3,background,4703,images/stimuli/complex_15_A_a.gif,curiosity_background,3
SS1630951471938,1,complex_dissimilar,curiosity,6,4,background,5993,images/stimuli/complex_15_A_a.gif,curiosity_background,3
SS1630951578437,1,complex_dissimilar,curiosity,4,1,background,5780.10000000149,images/stimuli/complex_15_A_a.gif,curiosity_novel,2
SS1630951578437,1,complex_dissimilar,curiosity,4,2,background,5049.39999999851,images/stimuli/complex_15_A_a.gif,curiosity_novel,2
SS1630951767439,1,simple_dissimilar,curiosity,6,1,background,3406,images/stimuli/simple_15_A_a.gif,curiosity_novel,2
SS1630951767439,1,simple_dissimilar,curiosity,6,2,background,2631,images/stimuli/simple_15_A_a.gif,curiosity_novel,2
SS1630951767439,1,simple_dissimilar,curiosity,6,3,background,2339,images/stimuli/simple_15_A_a.gif,curiosity_novel,2
SS1630951767439,1,simple_dissimilar,curiosity,6,4,background,2601,images/stimuli/simple_15_A_a.gif,curiosity_novel,2
SS1630951828892,1,complex_dissimilar,curiosity,4,1,background,3502.699999999255,images/stimuli/complex_15_A_a.gif,curiosity_novel,1
SS1630951828892,1,complex_dissimilar,curiosity,4,2,background,4039.699999999255,images/stimuli/complex_15_A_a.gif,curiosity_novel,1
SS1630952161025,1,simple_dissimilar,curiosity,6,1,background,1550,images/stimuli/simple_02_A_a.gif,curiosity_novel,3
SS1630952161025,1,simple_dissimilar,curiosity,6,2,background,523,images/stimuli/simple_02_A_a.gif,curiosity_novel,3
SS1630952161025,1,simple_dissimilar,curiosity,6,3,background,1067,images/stimuli/simple_02_A_a.gif,curiosity_novel,3
SS1630952161025,1,simple_dissimilar,curiosity,6,4,background,1201,images/stimuli/simple_02_A_a.gif,curiosity_novel,3
SS1630952224427,1,simple_dissimilar,curiosity,4,1,background,5688,images/stimuli/simple_08_A_a.gif,curiosity_novel,3
SS1630952224427,1,simple_dissimilar,curiosity,4,2,background,2759,images/stimuli/simple_08_A_a.gif,curiosity_novel,3
SS1630952271154,1,complex_dissimilar,curiosity,4,1,background,2014.39999999851,images/stimuli/complex_12_A_a.gif,curiosity_background,2
SS1630952271154,1,complex_dissimilar,curiosity,4,2,background,2325.800000000745,images/stimuli/complex_12_A_a.gif,curiosity_background,2
SS1630952295180,1,complex_dissimilar,curiosity,6,1,background,7651.599999964237,images/stimuli/complex_14_A_a.gif,curiosity_background,2
SS1630952295180,1,complex_dissimilar,curiosity,6,2,background,7185.300000011921,images/stimuli/complex_14_A_a.gif,curiosity_background,2
SS1630952295180,1,complex_dissimilar,curiosity,6,3,background,6831.800000011921,images/stimuli/complex_14_A_a.gif,curiosity_background,2
SS1630952295180,1,complex_dissimilar,curiosity,6,4,background,4937.099999964237,images/stimuli/complex_14_A_a.gif,curiosity_background,2
SS1630952322184,1,complex_dissimilar,curiosity,4,1,background,15681.5,images/stimuli/complex_08_A_a.gif,curiosity_novel,3
SS1630952322184,1,complex_dissimilar,curiosity,4,2,background,1936.399999976158,images/stimuli/complex_08_A_a.gif,curiosity_novel,3
SS1630952381393,1,complex_dissimilar,curiosity,4,1,background,817,images/stimuli/complex_18_A_a.gif,curiosity_background,4
SS1630952381393,1,complex_dissimilar,curiosity,4,2,background,1978,images/stimuli/complex_18_A_a.gif,curiosity_background,4
SS1630952435679,1,simple_dissimilar,curiosity,4,1,background,5219.100000023842,images/stimuli/simple_05_A_a.gif,curiosity_novel,1
SS1630952435679,1,simple_dissimilar,curiosity,4,2,background,5154.800000011921,images/stimuli/simple_05_A_a.gif,curiosity_novel,1
SS1630952470116,1,complex_dissimilar,curiosity,4,1,background,8163.600000008941,images/stimuli/complex_13_A_a.gif,curiosity_background,2
SS1630952470116,1,complex_dissimilar,curiosity,4,2,background,6860.9000000059605,images/stimuli/complex_13_A_a.gif,curiosity_background,2
SS1630952524765,1,simple_dissimilar,curiosity,6,1,background,4325.399999976158,images/stimuli/simple_07_A_a.gif,curiosity_background,2
SS1630952524765,1,simple_dissimilar,curiosity,6,2,background,6236.800000011921,images/stimuli/simple_07_A_a.gif,curiosity_background,2
SS1630952524765,1,simple_dissimilar,curiosity,6,3,background,3773.199999988079,images/stimuli/simple_07_A_a.gif,curiosity_background,2
SS1630952524765,1,simple_dissimilar,curiosity,6,4,background,1387.5999999642372,images/stimuli/simple_07_A_a.gif,curiosity_background,2
SS1630952541828,1,simple_dissimilar,curiosity,6,1,background,11379.10000000149,images/stimuli/simple_15_A_a.gif,curiosity_background,1
SS1630952541828,1,simple_dissimilar,curiosity,6,2,background,7276.19999999553,images/stimuli/simple_15_A_a.gif,curiosity_background,1
SS1630952541828,1,simple_dissimilar,curiosity,6,3,background,8968,images/stimuli/simple_15_A_a.gif,curiosity_background,1
SS1630952541828,1,simple_dissimilar,curiosity,6,4,background,5094.30000000447,images/stimuli/simple_15_A_a.gif,curiosity_background,1
SS1630952617003,1,simple_dissimilar,curiosity,6,1,background,7333,images/stimuli/simple_11_A_a.gif,curiosity_novel,2
SS1630952617003,1,simple_dissimilar,curiosity,6,2,background,8464,images/stimuli/simple_11_A_a.gif,curiosity_novel,2
SS1630952617003,1,simple_dissimilar,curiosity,6,3,background,6689,images/stimuli/simple_11_A_a.gif,curiosity_novel,2
SS1630952617003,1,simple_dissimilar,curiosity,6,4,background,29153,images/stimuli/simple_11_A_a.gif,curiosity_novel,2
SS1630952766318,1,complex_dissimilar,curiosity,6,1,background,3450,images/stimuli/complex_13_A_a.gif,curiosity_novel,3
SS1630952766318,1,complex_dissimilar,curiosity,6,2,background,3055,images/stimuli/complex_13_A_a.gif,curiosity_novel,3
SS1630952766318,1,complex_dissimilar,curiosity,6,3,background,1109,images/stimuli/complex_13_A_a.gif,curiosity_novel,3
SS1630952766318,1,complex_dissimilar,curiosity,6,4,background,5609,images/stimuli/complex_13_A_a.gif,curiosity_novel,3
SS1630952800043,1,complex_dissimilar,curiosity,4,1,background,9665.899999976158,images/stimuli/complex_01_A_a.gif,curiosity_background,3
SS1630952800043,1,complex_dissimilar,curiosity,4,2,background,8116.800000011921,images/stimuli/complex_01_A_a.gif,curiosity_background,3
SS1630952826677,1,complex_dissimilar,curiosity,6,1,background,3648.5,images/stimuli/complex_19_A_a.gif,curiosity_novel,1
SS1630952826677,1,complex_dissimilar,curiosity,6,2,background,534,images/stimuli/complex_19_A_a.gif,curiosity_novel,1
SS1630952826677,1,complex_dissimilar,curiosity,6,3,background,599.3999999761581,images/stimuli/complex_19_A_a.gif,curiosity_novel,1
SS1630952826677,1,complex_dissimilar,curiosity,6,4,background,733,images/stimuli/complex_19_A_a.gif,curiosity_novel,1
SS1630952867481,1,simple_dissimilar,curiosity,6,1,background,11256,images/stimuli/simple_01_A_a.gif,curiosity_novel,1
SS1630952867481,1,simple_dissimilar,curiosity,6,2,background,5902,images/stimuli/simple_01_A_a.gif,curiosity_novel,1
SS1630952867481,1,simple_dissimilar,curiosity,6,3,background,8886,images/stimuli/simple_01_A_a.gif,curiosity_novel,1
SS1630952867481,1,simple_dissimilar,curiosity,6,4,background,4454,images/stimuli/simple_01_A_a.gif,curiosity_novel,1
SS1630953207559,1,simple_dissimilar,curiosity,4,1,background,2546.599999904633,images/stimuli/simple_08_A_a.gif,curiosity_background,3
SS1630953207559,1,simple_dissimilar,curiosity,4,2,background,1367.6999999284744,images/stimuli/simple_08_A_a.gif,curiosity_background,3
SS1630953441889,1,complex_dissimilar,curiosity,4,1,background,6911.5,images/stimuli/complex_17_A_a.gif,curiosity_novel,0
SS1630953441889,1,complex_dissimilar,curiosity,4,2,background,6077.700000286102,images/stimuli/complex_17_A_a.gif,curiosity_novel,0
SS1630953471980,1,simple_dissimilar,curiosity,4,1,background,9729.800000190737,images/stimuli/simple_01_A_a.gif,curiosity_background,1
SS1630953471980,1,simple_dissimilar,curiosity,4,2,background,6163.5,images/stimuli/simple_01_A_a.gif,curiosity_background,1
SS1630953494168,1,simple_dissimilar,curiosity,4,1,background,6309,images/stimuli/simple_11_A_a.gif,curiosity_novel,3
SS1630953494168,1,simple_dissimilar,curiosity,4,2,background,5447,images/stimuli/simple_11_A_a.gif,curiosity_novel,3
SS1630953498093,1,simple_dissimilar,curiosity,6,1,background,9575,images/stimuli/simple_01_A_a.gif,curiosity_background,1
SS1630953498093,1,simple_dissimilar,curiosity,6,2,background,4173.600000023842,images/stimuli/simple_01_A_a.gif,curiosity_background,1
SS1630953498093,1,simple_dissimilar,curiosity,6,3,background,6526,images/stimuli/simple_01_A_a.gif,curiosity_background,1
SS1630953498093,1,simple_dissimilar,curiosity,6,4,background,6467.800000071526,images/stimuli/simple_01_A_a.gif,curiosity_background,1
SS1630953505629,1,simple_dissimilar,curiosity,4,1,background,2310.599999904633,images/stimuli/simple_07_A_a.gif,curiosity_background,2
SS1630953505629,1,simple_dissimilar,curiosity,4,2,background,3911.5,images/stimuli/simple_07_A_a.gif,curiosity_background,2
SS1630953542990,1,simple_dissimilar,curiosity,6,1,background,10701.899999976158,images/stimuli/simple_01_A_a.gif,curiosity_background,3
SS1630953542990,1,simple_dissimilar,curiosity,6,2,background,1823.7000000476835,images/stimuli/simple_01_A_a.gif,curiosity_background,3
SS1630953542990,1,simple_dissimilar,curiosity,6,3,background,2062.100000023842,images/stimuli/simple_01_A_a.gif,curiosity_background,3
SS1630953542990,1,simple_dissimilar,curiosity,6,4,background,970.399999976158,images/stimuli/simple_01_A_a.gif,curiosity_background,3
SS1630953554290,1,simple_dissimilar,curiosity,6,1,background,1072.7000000029802,images/stimuli/simple_01_A_a.gif,curiosity_novel,4
SS1630953554290,1,simple_dissimilar,curiosity,6,2,background,893.6000000014901,images/stimuli/simple_01_A_a.gif,curiosity_novel,4
SS1630953554290,1,simple_dissimilar,curiosity,6,3,background,1963,images/stimuli/simple_01_A_a.gif,curiosity_novel,4
SS1630953554290,1,simple_dissimilar,curiosity,6,4,background,579.6999999955297,images/stimuli/simple_01_A_a.gif,curiosity_novel,4
SS1630953710776,1,simple_dissimilar,curiosity,6,1,background,8329.099999904633,images/stimuli/simple_12_A_a.gif,curiosity_background,4
SS1630953710776,1,simple_dissimilar,curiosity,6,2,background,6604.400000095367,images/stimuli/simple_12_A_a.gif,curiosity_background,4
SS1630953710776,1,simple_dissimilar,curiosity,6,3,background,8076.299999952316,images/stimuli/simple_12_A_a.gif,curiosity_background,4
SS1630953710776,1,simple_dissimilar,curiosity,6,4,background,8909.299999952316,images/stimuli/simple_12_A_a.gif,curiosity_background,4
SS1630953802556,1,simple_dissimilar,curiosity,6,1,background,5478,images/stimuli/simple_13_A_a.gif,curiosity_novel,3
SS1630953802556,1,simple_dissimilar,curiosity,6,2,background,5419,images/stimuli/simple_13_A_a.gif,curiosity_novel,3
SS1630953802556,1,simple_dissimilar,curiosity,6,3,background,6028,images/stimuli/simple_13_A_a.gif,curiosity_novel,3
SS1630953802556,1,simple_dissimilar,curiosity,6,4,background,4912,images/stimuli/simple_13_A_a.gif,curiosity_novel,3
SS1630953874745,1,complex_dissimilar,curiosity,6,1,background,12804.100000143051,images/stimuli/complex_19_A_a.gif,curiosity_background,4
SS1630953874745,1,complex_dissimilar,curiosity,6,2,background,9339.299999952316,images/stimuli/complex_19_A_a.gif,curiosity_background,4
SS1630953874745,1,complex_dissimilar,curiosity,6,3,background,4503.5,images/stimuli/complex_19_A_a.gif,curiosity_background,4
SS1630953874745,1,complex_dissimilar,curiosity,6,4,background,7661.400000095367,images/stimuli/complex_19_A_a.gif,curiosity_background,4
SS1630953883201,1,simple_dissimilar,curiosity,6,1,background,11069.5,images/stimuli/simple_14_A_a.gif,curiosity_background,1
SS1630953883201,1,simple_dissimilar,curiosity,6,2,background,28085.799999713898,images/stimuli/simple_14_A_a.gif,curiosity_background,1
SS1630953883201,1,simple_dissimilar,curiosity,6,3,background,14334.400000095367,images/stimuli/simple_14_A_a.gif,curiosity_background,1
SS1630953883201,1,simple_dissimilar,curiosity,6,4,background,5878.10000038147,images/stimuli/simple_14_A_a.gif,curiosity_background,1
SS1630953940846,1,complex_dissimilar,curiosity,4,1,background,14756.400000095367,images/stimuli/complex_02_A_a.gif,curiosity_background,3
SS1630953940846,1,complex_dissimilar,curiosity,4,2,background,3963.799999952316,images/stimuli/complex_02_A_a.gif,curiosity_background,3
SS1630953946267,1,simple_dissimilar,curiosity,4,1,background,11386.40000000596,images/stimuli/simple_04_A_a.gif,curiosity_background,2
SS1630953946267,1,simple_dissimilar,curiosity,4,2,background,9220.09999999404,images/stimuli/simple_04_A_a.gif,curiosity_background,2
SS1630954072972,1,complex_dissimilar,curiosity,4,1,background,2297.2000000476837,images/stimuli/complex_04_A_a.gif,curiosity_background,3
SS1630954072972,1,complex_dissimilar,curiosity,4,2,background,3852.399999856949,images/stimuli/complex_04_A_a.gif,curiosity_background,3
SS1630954167514,1,complex_dissimilar,curiosity,4,1,background,32286.599999904633,images/stimuli/complex_13_A_a.gif,curiosity_novel,1
SS1630954167514,1,complex_dissimilar,curiosity,4,2,background,8392.200000047684,images/stimuli/complex_13_A_a.gif,curiosity_novel,1
SS1630954313784,1,simple_dissimilar,curiosity,4,1,background,8799.89999999851,images/stimuli/simple_15_A_a.gif,curiosity_background,2
SS1630954313784,1,simple_dissimilar,curiosity,4,2,background,3359.39999999851,images/stimuli/simple_15_A_a.gif,curiosity_background,2
SS1630954348988,1,complex_dissimilar,curiosity,4,1,background,5818,images/stimuli/complex_11_A_a.gif,curiosity_background,3
SS1630954348988,1,complex_dissimilar,curiosity,4,2,background,1520,images/stimuli/complex_11_A_a.gif,curiosity_background,3
SS1630954375072,1,complex_dissimilar,curiosity,6,1,background,6655.10000000149,images/stimuli/complex_08_A_a.gif,curiosity_novel,2
SS1630954375072,1,complex_dissimilar,curiosity,6,2,background,3896.2999999988824,images/stimuli/complex_08_A_a.gif,curiosity_novel,2
SS1630954375072,1,complex_dissimilar,curiosity,6,3,background,2729.699999999255,images/stimuli/complex_08_A_a.gif,curiosity_novel,2
SS1630954375072,1,complex_dissimilar,curiosity,6,4,background,7047.10000000149,images/stimuli/complex_08_A_a.gif,curiosity_novel,2
SS1630954393348,1,complex_dissimilar,curiosity,4,1,background,12221.5,images/stimuli/complex_20_A_a.gif,curiosity_background,3
SS1630954393348,1,complex_dissimilar,curiosity,4,2,background,5390.5,images/stimuli/complex_20_A_a.gif,curiosity_background,3
SS1630954481966,1,complex_dissimilar,curiosity,6,1,background,4059.400000005961,images/stimuli/complex_04_A_a.gif,curiosity_background,2
SS1630954481966,1,complex_dissimilar,curiosity,6,2,background,1009.7999999970198,images/stimuli/complex_04_A_a.gif,curiosity_background,2
SS1630954481966,1,complex_dissimilar,curiosity,6,3,background,2990,images/stimuli/complex_04_A_a.gif,curiosity_background,2
SS1630954481966,1,complex_dissimilar,curiosity,6,4,background,2658.70000000298,images/stimuli/complex_04_A_a.gif,curiosity_background,2
SS1630954497385,1,complex_dissimilar,curiosity,4,1,background,5884.399999976158,images/stimuli/complex_20_A_a.gif,curiosity_background,2
SS1630954497385,1,complex_dissimilar,curiosity,4,2,background,3664.5,images/stimuli/complex_20_A_a.gif,curiosity_background,2
SS1630954527405,1,complex_dissimilar,curiosity,6,1,background,9585.399999976158,images/stimuli/complex_20_A_a.gif,curiosity_background,3
SS1630954527405,1,complex_dissimilar,curiosity,6,2,background,6470.600000023842,images/stimuli/complex_20_A_a.gif,curiosity_background,3
SS1630954527405,1,complex_dissimilar,curiosity,6,3,background,10285.899999976158,images/stimuli/complex_20_A_a.gif,curiosity_background,3
SS1630954527405,1,complex_dissimilar,curiosity,6,4,background,7790.600000023842,images/stimuli/complex_20_A_a.gif,curiosity_background,3
SS1630954625278,1,complex_dissimilar,curiosity,6,1,background,9258.800000000048,images/stimuli/complex_09_A_a.gif,curiosity_background,1
SS1630954625278,1,complex_dissimilar,curiosity,6,2,background,6000.5,images/stimuli/complex_09_A_a.gif,curiosity_background,1
SS1630954625278,1,complex_dissimilar,curiosity,6,3,background,6580.699999999953,images/stimuli/complex_09_A_a.gif,curiosity_background,1
SS1630954625278,1,complex_dissimilar,curiosity,6,4,background,5548.800000000047,images/stimuli/complex_09_A_a.gif,curiosity_background,1
